2018-06-01, 09:00:00, 50 , 130 
2018-06-01, 09:10:00, 104 , 14 
2018-06-01, 09:12:00, 122 , 17 
2018-06-01, 09:16:00, 73 , 71 
2018-06-01, 09:30:00, 128 , 87 
2018-06-01, 09:36:00, 72 , 36 
2018-06-01, 09:44:00, 53 , 115 
2018-06-01, 09:58:00, 16 , 91 
2018-06-01, 10:06:00, 116 , 17 
2018-06-01, 10:18:00, 73 , 3 
2018-06-01, 10:28:00, 123 , 133 
2018-06-01, 10:29:00, 29 , 128 
2018-06-01, 10:37:00, 47 , 26 
2018-06-01, 10:39:00, 57 , 58 
2018-06-01, 10:41:00, 81 , 126 
2018-06-01, 10:51:00, 2 , 85 
2018-06-01, 10:55:00, 92 , 95 
2018-06-01, 10:57:00, 91 , 8 
2018-06-01, 11:06:00, 105 , 49 
2018-06-01, 11:15:00, 80 , 53 
2018-06-01, 11:20:00, 11 , 124 
2018-06-01, 11:30:00, 88 , 31 
2018-06-01, 11:33:00, 31 , 5 
2018-06-01, 11:44:00, 16 , 43 
2018-06-01, 11:47:00, 55 , 107 
2018-06-01, 11:48:00, 67 , 1 
2018-06-01, 12:02:00, 13 , 112 
2018-06-01, 12:07:00, 56 , 75 
2018-06-01, 12:21:00, 47 , 3 
2018-06-01, 12:27:00, 84 , 75 
2018-06-01, 12:32:00, 31 , 49 
2018-06-01, 12:39:00, 62 , 119 
2018-06-01, 12:49:00, 56 , 27 
2018-06-01, 13:02:00, 22 , 49 
2018-06-01, 13:16:00, 93 , 32 
2018-06-01, 13:24:00, 129 , 9 
2018-06-01, 13:34:00, 56 , 37 
2018-06-01, 13:40:00, 26 , 34 
2018-06-01, 13:46:00, 33 , 57 
2018-06-01, 13:55:00, 73 , 104 
2018-06-01, 14:01:00, 125 , 117 
2018-06-01, 14:12:00, 49 , 93 
2018-06-01, 14:15:00, 40 , 81 
2018-06-01, 14:28:00, 35 , 98 
2018-06-01, 14:37:00, 53 , 90 
2018-06-01, 14:45:00, 72 , 97 
2018-06-01, 14:56:00, 114 , 36 
2018-06-01, 15:10:00, 128 , 119 
2018-06-01, 15:22:00, 82 , 5 
2018-06-01, 15:26:00, 129 , 52 
2018-06-01, 15:34:00, 50 , 79 
2018-06-01, 15:40:00, 129 , 60 
2018-06-01, 15:54:00, 36 , 44 
2018-06-01, 15:56:00, 8 , 75 
2018-06-01, 16:06:00, 108 , 97 
2018-06-01, 16:20:00, 47 , 127 
2018-06-01, 16:22:00, 31 , 93 
2018-06-01, 16:34:00, 97 , 52 
2018-06-01, 16:37:00, 102 , 31 
2018-06-01, 16:39:00, 34 , 50 
2018-06-01, 16:42:00, 8 , 107 
2018-06-01, 16:47:00, 36 , 108 
2018-06-01, 16:49:00, 43 , 80 
2018-06-01, 16:55:00, 123 , 48 
2018-06-01, 16:57:00, 56 , 114 
2018-06-01, 17:03:00, 122 , 101 
2018-06-01, 17:13:00, 110 , 40 
2018-06-01, 17:23:00, 15 , 74 
2018-06-01, 17:24:00, 27 , 8 
2018-06-01, 17:37:00, 17 , 41 
2018-06-01, 17:44:00, 109 , 11 
2018-06-01, 17:53:00, 132 , 84 
2018-06-01, 17:58:00, 80 , 23 
2018-06-01, 18:02:00, 83 , 68 
2018-06-01, 18:12:00, 108 , 62 
2018-06-01, 18:23:00, 32 , 116 
2018-06-01, 18:37:00, 10 , 72 
2018-06-01, 18:49:00, 14 , 94 
2018-06-01, 19:03:00, 39 , 40 
2018-06-01, 19:04:00, 89 , 4 
2018-06-01, 19:17:00, 88 , 49 
2018-06-01, 19:24:00, 71 , 61 
2018-06-01, 19:34:00, 115 , 34 
2018-06-01, 19:37:00, 88 , 124 
2018-06-01, 19:40:00, 65 , 55 
2018-06-01, 19:42:00, 58 , 100 
2018-06-01, 19:44:00, 82 , 6 
2018-06-01, 19:50:00, 41 , 15 
2018-06-01, 19:57:00, 58 , 41 
2018-06-01, 20:04:00, 33 , 58 
2018-06-01, 20:15:00, 83 , 98 
2018-06-01, 20:18:00, 84 , 124 
2018-06-01, 20:27:00, 52 , 128 
2018-06-01, 20:30:00, 124 , 4 
2018-06-01, 20:36:00, 112 , 82 
2018-06-01, 20:38:00, 52 , 23 
2018-06-01, 20:45:00, 110 , 34 
2018-06-01, 20:48:00, 6 , 95 
2018-06-01, 20:57:00, 16 , 101 
2018-06-01, 21:01:00, 65 , 58 
