1, 2
2, 3
3, 4
4, 5
6, 5
6, 7
8, 7
9, 8
10, 9
11, 10
12, 11
13, 12
14, 13
15, 14
16, 15
17, 16
18, 17
19, 18
20, 19
21, 20
22, 21
23, 22
24, 23
25, 24
24, 68
68, 69
68, 67
67, 23
67, 66
66, 119
20, 119
120, 119
121, 120
25, 122
122, 121
25, 70
70, 71
70, 72
72, 73
73, 77
77, 78
78, 32
32, 31
31, 77
73, 74
74, 75
74, 76
74, 26
26, 27
27, 28
28, 29
29, 30
30, 31
30, 110
110, 109
109, 111
111, 112
111, 113
113, 34
112, 114
34, 33
33, 116
116, 115
115, 83
83, 82
82, 118
118, 81
81, 80
117, 80
81, 82
117, 79
79, 32
33, 32
109, 101
105, 101
29, 105
105, 102
102, 101
102, 106
106, 107
107, 108
108, 106
28, 27
27, 107
28, 108
102, 103
103, 104
101, 100
100, 98
98, 99
96, 98
96, 95
95, 94
95, 93
93, 14
16, 92
92, 91
91, 90
90, 89
89, 87
87, 88
89, 17
87, 86
86, 97
97, 92
15, 57
57, 55
55, 56
56, 16
56, 58
58, 59
59, 61
61, 62
13, 54
54, 55
54, 48
48, 123
123, 47
46, 49
49, 50
50, 53
53, 52
52, 51
51, 50
11, 51
10, 41
41, 42
42, 44
42, 43
39, 43
39, 40
39, 124
124, 125
125, 37
37, 8
37, 124
6, 36
36, 35
35, 4
3, 85
83, 84
118, 115
117, 116
19, 126
26, 122
65, 20
65, 127
127, 18
12, 131
131, 132
133, 131
5, 130
130, 129
128, 8
58, 60
34, 85
41, 45
49, 48
